new.id,Reference,Title,Original.appellation,Original.function,Our.function,Our.definition,Lindeman.yes.OR.no,Data.source,Data.period,general.period,Location,Latitude,Longtitude,Ecosystem,Species.number,Group.number,Information.records,Taxon.record,new.taxon.1,new.taxon.2,from_to,predator.TL,long.FCL,short.FCL,is.chain,too.omni,FC.label,Energy.path,Interaction.type,Scenario,Parse.from,orig.value,orig.interv,trans,X0_1,X1_2,X2_3,X3_4,X4_5,X5_6,X6_7,X7_8,X8_9,X9_10,geom_mean,prey_pred,trans.label,Data.form,n,SD/SE/median/interval,SD,data.LABEL,Factor,Effect.size,control...experiment,Nutrient,DOC,Light,Salinity,Temperature,Environ.other,Succession.phase,PP..primary.or.detritus.,Depth,Eco.area,Invasion,micro_loop,Time_Average,Element,FCL,taxonomy,Environmental stress,Horizontal,Vertical
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 2 / ingestion 1,ingestion 2 / ingestion 1,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 1,Lindeman Spine: I_II,aggregated,aggregated,1_2,2,5,5,YES,NO,aY,plankton + detritus,herbivore,1,recalculation,0.075,,0.075,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 1,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 3 / ingestion 2,ingestion 3 / ingestion 2,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 1,Lindeman Spine: II_III,aggregated,aggregated,2_3,3,5,5,YES,NO,aY,plankton + detritus,carnivore,1,recalculation,0.272,,0.272,NA,NA,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 1,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 4 / ingestion 3,ingestion 4 / ingestion 3,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 1,Lindeman Spine: III_IV,aggregated,aggregated,3_4,4,5,5,YES,NO,aY,plankton + detritus,carnivore,1,recalculation,0.019,,0.019,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 1,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 2 / ingestion 1,ingestion 2 / ingestion 1,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 2,Lindeman Spine: I_II,aggregated,aggregated,1_2,2,5,5,YES,NO,aY,plankton + detritus,herbivore,2,recalculation,0.236,,0.236,NA,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 2,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 3 / ingestion 2,ingestion 3 / ingestion 2,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 2,Lindeman Spine: II_III,aggregated,aggregated,2_3,3,5,5,YES,NO,aY,plankton + detritus,carnivore,2,recalculation,0.309,,0.309,NA,NA,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 2,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 4 / ingestion 3,ingestion 4 / ingestion 3,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 2,Lindeman Spine: III_IV,aggregated,aggregated,3_4,4,5,5,YES,NO,aY,plankton + detritus,carnivore,2,recalculation,0.003,,0.003,NA,NA,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 2,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 2 / ingestion 1,ingestion 2 / ingestion 1,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 3,Lindeman Spine: I_II,aggregated,aggregated,1_2,2,5,5,YES,NO,aY,plankton + detritus,herbivore,3,recalculation,0.117,,0.117,NA,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 3,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 3 / ingestion 2,ingestion 3 / ingestion 2,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 3,Lindeman Spine: II_III,aggregated,aggregated,2_3,3,5,5,YES,NO,aY,plankton + detritus,carnivore,3,recalculation,0.336,,0.336,NA,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 3,,,,,,,C,,,,,
1,"Almunia_1999_ Estuarine, Coastal and Shelf Science",Benthic-Pelagic Switching in a Coastal Subtropical Lagoon,trophic efficiencies,ingestion 4 / ingestion 3,ingestion 4 / ingestion 3,ingestion n+1 / ingestion n,YES,InvestigationModel+Reference,NA,NA,"28.0бу N, 15.5бу W",28.0бу N,15.5бу W,coastal lagoon,NA,17,succession stage 3,Lindeman Spine: III_IV,aggregated,aggregated,3_4,4,5,5,YES,NO,aY,plankton + detritus,carnivore,3,recalculation,0.002,,0.002,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,spine TTE,single value,1,,,h,succession phase,YES,,,,,,,,succession phase 3,,,,,,,C,,,,,
2,Alongi_1985_J. Exp. Mar. Biol. Ecol.,Effect of detritus supply on trophic relationships within experimental benthic food webs. I. Meiofauna-polychaete (capitella capitata (Type I) Fabricius) interactions,trophic transfer efficiencies,detritivore production / detritus supplied,production 2 / production 1,production n+1 / production n,YES,ExperimentCalculation,40~55 weeks,1980s,NA,NA,NA,artificial_benthic,NA,NA,species 1 (╦о╘щ)_with Capitella capitata_H,detritus_Capitella Capitata + meiofauna,benthos,invertebrate,1_2,2,NA,NA,NO,NA,d,detritus,detritivore,1,table,0.03,,0.03,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TTE,single value,1,,,h,food quantity,YES,E,,,,,,,,H,,,,,,C,,,,,
