"FW","Ecosystem","TL","TTE"
"2","marine","1_2",0.280051403748313
"7","marine","1_2",0.11233722971675
"24","marine","1_2",0.318195996840281
"34","marine","1_2",0.24118984178783
"40","marine","1_2",0.155104559143835
"41","marine","1_2",0.245185764110651
"46","marine","1_2",0.207893396522711
"48","marine","1_2",0.236545973372549
"53","marine","1_2",0.4714782
"58","marine","1_2",0.219157461462217
"68","marine","1_2",0.0246756820024507
"99","marine","1_2",0.0946245104192945
"105","marine","1_2",0.181919204006012
"107","marine","1_2",0.212218594316177
"108","marine","1_2",0.22474721736819
"115","marine","1_2",0.0550862276392473
"116","marine","1_2",0.344035192342434
"118","marine","1_2",0.143705137178556
"133","marine","1_2",0.12137471217234
"135","marine","1_2",0.0680346892542554
"136","marine","1_2",0.0538536330529662
"137","marine","1_2",0.0448864538232118
"145","marine","1_2",0.22115148655924
"153","marine","1_2",0.0185515849897491
"179","marine","1_2",0.141883820534299
"180","marine","1_2",0.137640634320671
"189","marine","1_2",0.122911548366305
"217","marine","1_2",0.594823542449043
"218","marine","1_2",0.506477652804691
"227","marine","1_2",0.00854255990599836
"232","marine","1_2",0.227922673481649
"239","marine","1_2",0.299807504385953
"240","marine","1_2",0.0646280980740681
"241","marine","1_2",0.11548047436495
"243","marine","1_2",0.0495372983403675
"246","marine","1_2",0.276703916513998
"252","marine","1_2",0.14766080883643
"266","marine","1_2",0.614357846322604
"267","marine","1_2",0.200053419490381
"269","marine","1_2",0.376517349522785
"279","marine","1_2",0.39008752036415
"282","marine","1_2",0.115811831246201
"289","marine","1_2",0.00626983217488584
"291","marine","1_2",0.0744891175492945
"305","marine","1_2",0.152871935173987
"311","marine","1_2",0.195099293948448
"312","marine","1_2",0.202703994658462
"318","marine","1_2",0.211803797872283
"320","marine","1_2",0.422460845155204
"323","marine","1_2",0.380831312295527
"324","marine","1_2",0.427124294109546
"325","marine","1_2",0.174389030068309
"328","marine","1_2",0.169341786296638
"335","marine","1_2",0.322855631462666
"400","marine","1_2",0.10626869261742
"401","marine","1_2",0.221071311330376
"403","marine","1_2",0.13855348737557
"405","marine","1_2",0.193621396329904
"406","marine","1_2",0.135125845123415
"407","marine","1_2",0.238825053601424
"410","marine","1_2",0.00887971482745142
"411","marine","1_2",0.0388016566825604
"412","marine","1_2",0.224257193213699
"413","marine","1_2",0.510360816274001
"414","marine","1_2",0.234882700780202
"415","marine","1_2",0.411545079997574
"429","marine","1_2",0.171215123791667
"431","marine","1_2",0.294493534870151
"432","marine","1_2",0.165206045768344
"433","marine","1_2",0.394189461569588
"434","marine","1_2",0.228710633592091
"435","marine","1_2",0.0514611357441714
"436","marine","1_2",0.188188855374093
"438","marine","1_2",0.164970967923268
"439","marine","1_2",0.169990271289236
"441","marine","1_2",0.12145632462242
"443","marine","1_2",0.191529411694772
"444","marine","1_2",0.118730611157163
"446","marine","1_2",0.235964109973864
"447","marine","1_2",0.169538404783898
"448","marine","1_2",0.0909321807076502
"450","marine","1_2",0.117950117422822
"452","marine","1_2",0.00756865184992865
"456","marine","1_2",0.597209076001436
"457","marine","1_2",0.937688045205566
"459","marine","1_2",0.506188044298464
"461","marine","1_2",0.104108614823054
"462","marine","1_2",0.352790564358141
"464","marine","1_2",0.30125797464676
"465","marine","1_2",0.336180628844994
"466","marine","1_2",0.708038397392915
"467","marine","1_2",0.225437334048903
"468","marine","1_2",0.424181085858586
"473","marine","1_2",0.626595941274529
"477","marine","1_2",0.187447109256449
"478","marine","1_2",0.342673362803264
"479","marine","1_2",0.342670412512751
"485","marine","1_2",0.0980468050018642
"486","marine","1_2",0.313059960773048
"487","marine","1_2",0.406001589122944
"488","marine","1_2",0.425957625036669
"489","marine","1_2",0.122251118787232
"490","marine","1_2",0.124877104012796
"495","marine","1_2",0.394034773084239
"496","marine","1_2",0.385544364112437
"497","marine","1_2",0.208825962948489
"499","marine","1_2",0.143582856005788
"513","marine","1_2",0.0235162485725
"518","marine","1_2",0.187908431878821
"519","marine","1_2",0.089970897018338
"520","marine","1_2",0.0987814631738368
"521","marine","1_2",0.128907796192719
"526","marine","1_2",0.138112223459576
"537","marine","1_2",6.78722561628505
"567","marine","1_2",0.0382573116479595
"568","marine","1_2",0.0191065733543124
"608","marine","1_2",0.136342644144265
"633","marine","1_2",0.300990113312766
"634","marine","1_2",0.300532371656434
"637","marine","1_2",0.136129563253936
"646","marine","1_2",0.169946335514648
"650","marine","1_2",0.083233836972959
"651","marine","1_2",0.0826804462428241
"655","marine","1_2",0.144408668911848
"658","marine","1_2",0.0457633448255786
"664","marine","1_2",0.351628580838323
"674","marine","1_2",0.126827085815574
"675","marine","1_2",0.112429507556647
"677","marine","1_2",0.198977109122203
"680","marine","1_2",0.604807733567991
"682","marine","1_2",0.0256927729717634
"687","marine","1_2",0.661975725992925
"689","marine","1_2",0.179902656170915
