"new.id","eff","Ecosystems","Ecosystem.origin","Ecosystem.type","Ecosystem.type2","resource","consumer","TL","Definition","element","element2"
"1",0.075,"Natural aquatic","Natural","Aquatic","Marine","herbivore","aggregated","I_II","Ingestion","C","Energy"
"1",0.272,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","II_III","Ingestion","C","Energy"
"1",0.019,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","III_IV","Ingestion","C","Energy"
"1",0.236,"Natural aquatic","Natural","Aquatic","Marine","herbivore","aggregated","I_II","Ingestion","C","Energy"
"1",0.309,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","II_III","Ingestion","C","Energy"
"1",0.003,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","III_IV","Ingestion","C","Energy"
"1",0.117,"Natural aquatic","Natural","Aquatic","Marine","herbivore","aggregated","I_II","Ingestion","C","Energy"
"1",0.336,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","II_III","Ingestion","C","Energy"
"1",0.002,"Natural aquatic","Natural","Aquatic","Marine","carnivore","aggregated","III_IV","Ingestion","C","Energy"
"2",0.03,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.03,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.04,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.04,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.02,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.08,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.04,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.03,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.02,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.1,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.09,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.07,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.002,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.007,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.02,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.004,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.005,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.01,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.002,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.01,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.02,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.02,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.007,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.01,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.15,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.11,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"2",0.08,"Artificial aquatic","Artificial","Aquatic","Marine","detritivore","invertebrate","I_II","Production","C","Energy"
"3",0.133,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"3",0.0128,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"3",0.151,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"3",0.0119,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"3",0.177,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"3",0.0062,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"3",0.212,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"3",0.0123,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"3",0.169,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"3",0.0089,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"4",0.146,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.12,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.13,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.091,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.068,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.028,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.272,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.0939,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.176,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"4",0.0719,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.0323,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.0312,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"5",0.151,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0119,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.177,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0062,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.212,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0123,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.133,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
